Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Young,Female,Rent,Married,Far,30100,0,Medium,12,530
Young,Female,Rent,Single,Close,11700,0,Low,12,193
Young,Female,Rent,Single,Close,14000,0,Low,12,229
Young,Female,Rent,Married,Close,76400,0,NEW,12,2216
Young,Female,Rent,Single,Close,15600,0,NEW,12,468
Young,Female,Rent,Single,Close,17300,0,Low,12,345
Young,Female,Own,Married,Close,76200,0,High,12,979
Young,Female,Own,Single,Far,31900,0,NEW,12,860
Young,Female,Own,Single,Far,16300,0,NEW,12,360
Young,Female,Rent,Married,Close,61700,0,NEW,12,1161
Young,Male,Rent,Married,Close,49800,0,Medium,12,827
Young,Male,Rent,Single,Close,18700,0,Low,12,289
Young,Male,Rent,Single,Close,21900,0,Low,12,276
Young,Male,Rent,Single,Close,15200,0,NEW,12,324
Young,Male,Rent,Single,Close,21400,0,NEW,12,414
Young,Male,Rent,Single,Close,23500,0,Low,12,371
Young,Male,Own,Single,Close,33400,0,NEW,12,567
Young,Male,Rent,Single,Close,14100,0,Low,12,328
Young,Male,Rent,Married,Close,67800,0,High,12,1084
Young,Male,Rent,Married,Far,25100,0,Medium,12,592
Young,Male,Rent,Single,Close,17400,0,NEW,12,332
Young,Male,Own,Single,Far,39600,0,NEW,12,1085
Young,Male,Rent,Single,Close,21200,0,NEW,12,417
Young,Male,Rent,Married,Far,51600,0,NEW,12,1082
Young,Male,Rent,Married,Close,36700,0,Medium,12,731
Young,Male,Rent,Married,Far,55000,0,NEW,12,1162
Young,Male,Rent,Single,Far,19000,0,NEW,12,428
Young,Male,Rent,Single,Far,25300,0,Medium,12,591
Young,Male,Rent,Single,Close,19600,0,Low,12,395
Young,Male,Rent,Single,Close,18000,0,Low,12,303
Young,Male,Rent,Single,Close,18200,0,Low,12,401
Middle,Female,Rent,Single,Close,42800,0,Medium,12,759
Middle,Female,Rent,Single,Close,46600,0,NEW,12,546
Middle,Female,Own,Single,Close,35200,0,Medium,12,607
Middle,Female,Rent,Married,Close,79500,0,High,12,1651
Middle,Female,Rent,Single,Close,43700,0,Medium,12,950
Middle,Female,Rent,Single,Close,48100,0,Medium,12,782
Middle,Female,Own,Married,Close,75600,0,NEW,12,1541
Middle,Female,Rent,Single,Far,45600,0,High,12,1322
Middle,Female,Own,Single,Close,47900,0,NEW,12,1090
Middle,Female,Own,Single,Close,68400,0,High,12,1304
Middle,Female,Own,Single,Close,48400,0,Medium,12,992
Middle,Female,Rent,Single,Close,42700,0,Medium,12,827
Middle,Female,Own,Single,Close,53800,0,Medium,12,843
Middle,Male,Own,Married,Close,66900,0,High,12,1220
Middle,Male,Own,Single,Far,53900,0,NEW,12,1186
Middle,Male,Own,Married,Close,106400,0,NEW,12,1757
Middle,Male,Own,Married,Close,111400,0,High,12,2136
Middle,Male,Own,Single,Close,60200,0,Medium,12,1365
Middle,Male,Rent,Single,Close,41200,0,Medium,12,841
Middle,Male,Own,Single,Close,55600,0,NEW,12,952
Middle,Male,Own,Married,Far,122100,0,High,12,2408
Middle,Male,Own,Single,Close,58400,0,Medium,12,829
Middle,Male,Rent,Single,Close,50500,0,Medium,12,1029
Middle,Male,Rent,Single,Close,72000,0,High,12,1475
Middle,Male,Own,Married,Close,77000,0,High,12,2104
Middle,Male,Own,Married,Close,97100,0,NEW,12,1473
Middle,Male,Rent,Single,Far,67700,0,High,12,2226
Middle,Male,Own,Single,Far,60200,0,High,12,1955
Middle,Male,Rent,Single,Close,45900,0,Medium,12,716
Middle,Male,Own,Married,Far,113800,0,NEW,12,3273
Middle,Male,Own,Single,Close,55900,0,Medium,12,964
Middle,Male,Own,Single,Far,70200,0,High,12,1702
Middle,Male,Rent,Married,Close,118800,0,High,12,2631
Middle,Male,Rent,Single,Close,52100,0,NEW,12,1668
Middle,Male,Rent,Single,Far,53800,0,High,12,1803
Middle,Male,Own,Married,Close,98400,0,High,12,1414
Middle,Male,Own,Single,Close,74400,0,High,12,1152
Middle,Male,Own,Married,Close,127000,0,NEW,12,1821
Middle,Male,Rent,Single,Close,43800,0,Medium,12,606
Middle,Male,Rent,Single,Close,53900,0,Medium,12,1060
Middle,Male,Rent,Single,Far,65400,0,High,12,2296
Middle,Male,Own,Married,Close,97200,0,NEW,12,1634
Middle,Male,Own,Married,Far,140000,0,High,12,4894
Middle,Male,Own,Married,Close,96600,0,NEW,12,1437
Middle,Male,Own,Married,Far,81200,0,High,12,2693
Old,Female,Rent,Single,Close,28900,0,Low,12,830
Old,Female,Own,Single,Close,36100,0,Medium,12,438
Old,Female,Own,Single,Far,22000,0,Medium,12,736
Old,Female,Own,Single,Close,12800,0,NEW,12,230
Old,Female,Own,Married,Close,74900,0,High,12,1474
Old,Female,Rent,Married,Close,39500,0,Medium,12,1006
Old,Female,Own,Single,Close,35200,0,NEW,12,827
Old,Female,Own,Married,Close,112800,0,High,12,1861
Old,Female,Own,Married,Close,43600,0,Medium,12,1047
Old,Female,Rent,Single,Close,33600,0,Medium,12,573
Old,Female,Own,Married,Far,79300,0,NEW,12,2047
Old,Female,Own,Single,Close,35900,0,NEW,12,962
Old,Female,Own,Married,Close,49200,0,Medium,12,1078
Old,Female,Rent,Single,Far,22600,0,NEW,12,865
Old,Female,Rent,Married,Close,50500,0,Medium,12,642
Old,Female,Own,Married,Close,74700,0,High,12,1699
Old,Female,Own,Married,Far,22800,0,NEW,12,452
Old,Female,Rent,Single,Close,14900,0,NEW,12,275
Old,Female,Rent,Married,Close,65900,0,High,12,777
Old,Female,Own,Married,Far,57900,0,High,12,1693
Old,Female,Own,Married,Close,96200,0,High,12,1457
Old,Female,Own,Single,Close,43300,0,NEW,12,1584
Old,Female,Own,Married,Far,40100,0,Medium,12,1384
Old,Female,Own,Married,Close,110700,0,High,12,2458
Old,Female,Own,Married,Far,74900,0,NEW,12,1804
Old,Female,Own,Single,Close,51900,0,Medium,12,1148
Old,Female,Own,Married,Close,89000,0,High,12,1487
Old,Female,Rent,Married,Close,39700,0,Medium,12,573
Old,Female,Rent,Single,Close,29200,0,Low,12,556
Old,Female,Own,Single,Close,39600,0,Medium,12,610
Old,Female,Own,Married,Close,51000,0,Medium,12,1025
Old,Female,Own,Married,Far,100100,0,High,12,3104
Old,Female,Rent,Single,Far,15000,0,Low,12,378
Old,Female,Rent,Single,Far,14000,0,Low,12,410
Old,Male,Own,Married,Close,26800,0,Low,12,435
Old,Male,Own,Married,Close,51200,0,Medium,12,1293
Old,Male,Own,Married,Close,73300,0,NEW,12,1694
Old,Male,Own,Married,Close,108900,0,High,12,1841
Old,Male,Own,Single,Close,59300,0,Medium,12,929
Old,Male,Own,Married,Close,107400,0,High,12,1485
Old,Male,Own,Married,Far,33000,0,Medium,12,979
Old,Male,Own,Married,Close,84500,0,NEW,12,1557
Old,Male,Rent,Single,Close,42800,0,Medium,12,922
Old,Male,Own,Married,Far,37000,0,Medium,12,850
Old,Male,Own,Married,Close,85300,0,NEW,12,2523
Old,Male,Own,Married,Close,106600,0,High,12,1877
Old,Male,Own,Married,Close,66300,0,High,12,1088
Old,Male,Own,Single,Close,69100,0,High,12,1477
Old,Male,Rent,Married,Far,23800,0,NEW,12,428
Old,Male,Rent,Married,Close,71800,0,High,12,1389
Old,Male,Rent,Married,Close,34500,0,Medium,12,802
Old,Male,Own,Single,Close,62200,0,NEW,12,1583
Young,Female,Rent,Single,Close,15900,0,NEW,18,406
Young,Female,Rent,Married,Close,60100,0,NEW,18,1594
