ID,Sales_Price,Zoning,Lot_Area,Alley,Lot_Config,Overall_Qual,Foundation,Bsmt_SF,Central_Air,First_Flr_SF,Second_Flr_SF,Full_Bath,Half_Bath,Bedrooms,Kitchen,TotalRooms,Fireplaces,Garage_Cars
1,215000,Low_Density,31770,NoAccess,Corner,Good,others,1080,Y,1656,0,1,0,3,1,7,2,2
2,105000,High_Density,11622,NoAccess,Inside,Average,others,882,Y,896,0,1,0,2,1,5,0,1
3,172000,Low_Density,14267,NoAccess,Corner,Good,others,1329,Y,1329,0,1,1,3,1,6,0,1
4,244000,Low_Density,11160,NoAccess,Corner,Good,others,2110,Y,2110,0,2,1,3,1,8,2,2
5,189900,Low_Density,13830,NoAccess,Inside,Average,others,928,Y,928,701,2,1,3,1,6,1,2
6,195500,Low_Density,9978,NoAccess,Inside,Good,others,926,Y,926,678,2,1,3,1,7,1,2
7,213500,Low_Density,4920,NoAccess,Inside,Excellent,others,1338,Y,1338,0,2,0,2,1,6,0,2
8,191500,Low_Density,5005,NoAccess,Inside,Excellent,others,1280,Y,1280,0,2,0,2,1,5,0,2
9,236500,Low_Density,5389,NoAccess,Inside,Excellent,others,1595,Y,1616,0,2,0,2,1,5,1,2
10,189000,Low_Density,7500,NoAccess,Inside,Good,others,994,Y,1028,776,2,1,3,1,7,1,2
11,175900,Low_Density,10000,NoAccess,Corner,Good,others,763,Y,763,892,2,1,3,1,7,1,2
12,185000,Low_Density,7980,NoAccess,Inside,Good,others,1168,Y,1187,0,2,0,3,1,6,0,2
13,180400,Low_Density,8402,NoAccess,Inside,Good,others,789,Y,789,676,2,1,3,1,7,1,2
14,171500,Low_Density,10176,NoAccess,Inside,Good,others,1300,Y,1341,0,1,1,2,1,5,1,2
15,212000,Low_Density,6820,NoAccess,Corner,Excellent,others,1488,Y,1502,0,1,1,1,1,4,0,2
16,538000,Low_Density,53504,NoAccess,CulDSac,Excellent,others,1650,Y,1690,1589,3,1,4,1,12,1,3
17,164000,Low_Density,12134,NoAccess,Inside,Excellent,Wood,559,Y,1080,672,2,0,4,1,8,0,2
18,394432,Low_Density,11394,NoAccess,Corner,Excellent,others,1856,Y,1856,0,1,1,1,1,8,1,3
19,141000,Low_Density,19138,NoAccess,Corner,Poor,others,864,Y,864,0,1,0,2,1,4,0,2
20,210000,Low_Density,13175,NoAccess,Inside,Good,others,1542,Y,2073,0,2,0,3,1,7,2,2
21,190000,Low_Density,11751,NoAccess,Inside,Good,others,1844,Y,1844,0,2,0,3,1,7,1,2
22,170000,Low_Density,10625,NoAccess,Inside,Good,others,1053,Y,1173,0,2,0,3,1,6,2,2
23,216000,FloatingVillage,7500,NoAccess,Inside,Good,others,814,Y,814,860,2,1,3,1,7,0,2
24,149000,Low_Density,11241,NoAccess,CulDSac,Good,others,1004,Y,1004,0,1,0,2,1,5,1,2
25,149900,Low_Density,12537,NoAccess,CulDSac,Average,others,1078,Y,1078,0,1,1,3,1,6,1,2
26,142000,Low_Density,8450,NoAccess,Inside,Average,others,1056,Y,1056,0,1,0,3,1,6,1,1
27,126000,Low_Density,8400,NoAccess,Corner,Poor,others,882,Y,882,0,1,0,2,1,4,0,2
28,115000,Low_Density,10500,NoAccess,Front,Poor,others,864,Y,864,0,1,0,3,1,5,1,0
29,184000,High_Density,5858,NoAccess,Front,Good,others,1405,Y,1337,0,2,0,2,1,5,1,2
30,96000,Medium_Density,1680,NoAccess,Inside,Good,others,483,Y,483,504,1,1,2,1,5,0,1
31,105500,Medium_Density,1680,NoAccess,Inside,Average,others,525,Y,525,567,1,1,3,1,6,0,1
32,88000,Medium_Density,1680,NoAccess,Inside,Good,others,525,Y,525,567,1,1,3,1,6,0,1
33,127500,Low_Density,4043,NoAccess,Inside,Good,others,1069,Y,1069,0,2,0,2,1,4,1,2
34,149900,Low_Density,2280,NoAccess,Front,Good,others,855,Y,855,601,2,1,3,1,6,1,2
35,120000,Low_Density,2280,NoAccess,Front,Good,others,836,Y,836,0,1,0,2,1,4,0,1
36,146000,Low_Density,2280,NoAccess,Inside,Good,others,855,Y,855,601,2,1,3,1,7,1,2
37,376162,Low_Density,12858,NoAccess,Inside,Excellent,others,1590,Y,1627,707,2,1,3,1,10,1,3
38,306000,Low_Density,11478,NoAccess,Inside,Excellent,others,1704,Y,1704,0,2,0,3,1,7,1,3
39,395192,Low_Density,10159,NoAccess,Inside,Excellent,others,1930,Y,1940,0,2,1,3,1,8,1,3
