Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
5.23,0,117.7,75.2,28.44,0.15,0.09,1.57,0.15,7.1,152.2,11.4,11.11,12.41,9.5,0.37,1.38,0.77,2.7,1.3,85.5,27,0,0.02,0,0,0
11.7,24.4,3.1,211.7,2.17,0.06,-0.01,0.27,0,79.8,109,-0.6,54.05,61.95,20.26,0.02,0.01,0.03,8.4,7.9,233,3.3,0.48,0.19,0.16,0.14,0.29
1.01,0,0,,,,,,,0,0,0,,,,,0,,0,0,6.1,-1,,,,,
6.42,5.9,46.6,670.7,2.63,-0.08,0.04,0.11,0.01,145.6,252,7.8,26.36,40.86,16.82,0.11,0.07,0.18,13.3,14.5,670.7,7.8,0.31,0.2,0.01,0.01,0.03
0.01,0.4,0.1,1.4,,0.51,,,-0.79,0,0.9,-1.1,-0.68,-0.38,-0.33,0.23,0.07,0.11,0,0.3,1.5,-0.8,0,0,12.12,0.92,
32.5,13.2,5.7,,2.13,,0.11,,,35.5,356.7,3,,,,0.07,,0.02,0,0,0,4.1,0.01,0,0.19,0.16,0.32
10.19,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
18.5,9.3,3.1,,0.96,,-0.03,,,43.3,320,-1,,,,0.07,,0.01,0,0,0,2.3,0.04,0,0.26,0.21,0.2
12.8,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
25.15,77,78.3,,1.64,,0.08,,,325.3,3563.7,25,,,,0.13,,0.02,0,0,0,32.5,0,0,0.14,0.13,0.19
36.83,20,9.9,,1.54,,0.05,,,76,377.7,3.5,,,,0.08,,0.03,0,0,0,3.4,0,0,0.19,0.16,0.23
17.11,16.9,6.1,,3.35,,-0.54,,,35.8,163.6,-13.6,,,,0.05,,0.04,0.7,0,0,7.7,0,0.03,0.15,0.13,0.4
16.18,138.3,34.7,,1.73,,0.1,,,878,1864.3,76,,,,0.02,,0.02,40.5,0,0,76,0,0,0.1,0.09,0.15
7.34,13.9,31.6,85.3,5.55,-1.53,-0.04,0.04,-0.04,58.4,121.4,-3.2,2.44,8.64,6.18,0.09,0.25,0.26,2.7,6.2,125.6,-4.1,0.39,0.04,0.04,0.04,0.16
0.6,1.6,0.7,13.2,1.11,-0.34,-0.05,0.15,-0.02,7.4,10,-0.3,1.09,1.69,1.46,0.08,0.06,0.07,0.3,0.6,12.6,-0.4,0.05,0.2,0.22,0.18,0.2
3.6,0,844.1,651.2,1.45,0.39,-0.12,-0.26,-0.23,430.8,1593,-152.8,-111.94,-60.04,-68.03,0.58,1.21,0.53,21.1,51.9,699.7,-152.8,0.24,0.04,0,0,0
77.51,2821,2757,20011,5.7,0.01,0.29,0.39,0.15,10442,20708,2990,6119.36,7118.36,4070.65,0.04,0.13,0.13,937,999,20933,3077,0.01,0.28,0.05,0.05,0.21
15.69,0,127.8,103.3,2.12,-0.13,0.08,0.35,0.12,36.2,205,12.7,21.24,22.64,14.27,0.63,1.36,0.62,0.9,1.4,93.8,10.1,0,0.01,0,0,0
0.21,0,0.1,,,,,,,-0.1,0.1,0,,,,0.06,,1,0,0,0,0,0,0,0,0,
0.78,1.3,0.6,0.7,8124,-0.02,,-44.78,-7.14,0.1,0.9,-5,-4.48,-4.38,-4.56,0,1.2,0.67,0.1,0.1,0.5,-4.7,0,0,0,0,
3.64,7.9,13.4,15.1,10.63,-0.1,-1.13,-3.77,-0.53,1.6,18.5,-8,-6.04,-5.44,-6.65,0.44,0.66,0.72,1,0.6,20.4,-3.7,0,0.06,0.35,0.26,0.53
1.85,0,31.8,11.5,,0.08,-0.64,9.39,-1.66,-2.1,39.1,-19.1,-19.71,-19.51,-18.08,0.34,1.59,0.81,1.6,0.2,20,-23.5,0,0.05,0,0,0
10.48,0.8,93.5,972.2,1.64,0.71,0.06,0.11,0.03,395.6,600.2,27.8,67.37,95.67,12.69,0.13,0.09,0.16,57.3,28.3,998.9,27.8,0,0.41,0,0,0
14.55,29.4,66,497.6,1.7,1.68,0.09,0.15,0.03,149.6,304.1,16.8,36.23,45.23,-15.15,0.21,0.12,0.22,41,9,528.7,16.6,0,0.27,0.1,0.09,0.14
8.06,0,6,8.4,22.5,-0.52,0.18,0.96,0.19,2.8,13.2,1.6,2.68,3.88,4.08,0.09,0.6,0.45,0.1,1.2,10,8.2,0.25,0.02,0,0,0
24.98,2.1,37,160.9,7.14,1.55,0.14,0.19,0.11,91.2,144.6,17.2,26.84,27.94,-9.6,0.05,0.16,0.26,4.7,1.1,227.2,24.7,0.11,0.08,0,0,0.02
0.34,9.6,0.7,7.5,2.65,0.29,-3.5,-0.07,-0.28,9.5,16.8,-2.1,-0.7,0.4,-0.5,0.03,,0.04,0.3,1.1,0,0,0.21,0.6,0.59,0.37,0.94
0.15,351.6,7.1,215.3,1.5,-30.67,,0,-0.61,232.6,339.1,-131.3,0.3,24.8,9.55,0.02,0.04,0.02,5.4,24.5,163.3,-73.5,0.6,0.16,65.11,0.98,
0.01,0,0.1,1.4,,-2.12,,0.51,-0.93,-2.4,0.7,-1.3,-1.23,-1.13,-3.83,0.2,,0.14,0,0.1,0,-1.1,0.29,0,0,0,
17.88,0.3,4,173.3,3.21,1.14,0.11,0.16,0.04,67.5,105.2,7.5,17.99,23.69,-1.48,0.02,0.02,0.04,17,5.7,181.3,11.3,0,0.47,0,0,0
23.98,203.6,50.3,747.8,2.03,-0.05,0.06,0.1,0.02,468,732.2,18.6,52.05,80.05,46.84,0.05,0.06,0.07,13,28,783.6,18.6,0.06,0.1,0.26,0.2,0.39
21.1,116.7,5.9,946.5,2.37,0.97,0.14,0.15,0.06,486,700.3,52.6,113.67,137.37,2.12,0.01,0.01,0.01,37.7,23.7,1071.4,57.2,0.11,0.16,0.11,0.1,0.24
19.39,116.7,5.9,946.5,2.17,-0.81,0.14,0.47,0.06,486,700.3,52.6,367.15,644.35,413.44,0.01,0.01,0.01,37.7,277.2,1071.4,57.1,0.11,0.16,0.12,0.11,0.24
37.1,0,131.2,256.1,5.63,0.42,0.11,0.4,0.09,88.7,282.5,24.2,39.85,55.95,20.6,0.21,0.31,0.46,2.2,16.1,417.4,27.2,0.07,0.06,0,0,0
2.11,0,32.4,0.9,325,-0.03,-0.36,-20.2,-13.11,0.6,33.9,-11.8,-12.12,-11.92,-12.52,0.14,36,0.96,0.6,0.2,0.9,-12.6,0,0.02,0,0,0
11.17,5.5,0.3,52.9,1.75,4.44,0.02,0.04,0,14.2,19.3,0.2,1.11,1.61,-2,0.01,0,0.02,0.2,0.5,64.8,1.7,0,0.05,0.28,0.22,0.38
16.48,0,22.6,52.8,7.99,0.37,0.08,0.15,0.09,39.1,71,4.9,9,10.9,3.74,0.07,0.39,0.32,2.6,1.9,57.6,5.4,0.01,0.12,0,0,0
0.08,0.1,0.1,2.1,,0.01,,10.25,-0.48,-0.1,0.2,-1,-1.03,-1.03,-1.02,0.01,0.04,0.5,0,0,2.3,0,0,0,0.01,0.01,
9.72,5534,4200,20721,5.13,-0.16,0.16,0.27,0.02,4158,24677,448,1765.43,2398.43,1312.68,0.16,0.19,0.17,543,633,22252,800,0.13,0.12,0.28,0.22,0.66
39.5,6780.6,2059,19680,3.53,0.1,0.25,0.23,0.18,19047.4,28767.5,3522.8,5545.82,6834.52,3911.37,0.03,0.09,0.07,1291.6,1288.7,21944.8,3522.8,0.2,0.21,0.11,0.1,0.32
42.85,223.1,23.6,95.6,4.98,9.42,0.09,0.08,0.29,511.2,632.8,27.7,57.6,79.7,-353.43,0.01,0.05,0.04,19.6,22.1,443.3,0,0,0.42,0.1,0.09,0.42
